base_column,original_column,kept
Identification ID Type,Identification ID Type,True
Identification ID,Identification ID,True
Year of Birth,Year of Birth,True
Relation to Entity,Relation to Entity,True
Education Level,Education Level,True
Lead Farmer,Lead Farmer,True
Local Group,Local Group,True
Do you want to update existing address and contact information?,Do you want to update existing address and contact information?,True
Do you want to autofill the field with existing address and contact information?,Do you want to autofill the field with existing address and contact information?,True
Address,Address,True
Phone Number,Phone Number,True
Email,Email,True
Number of adults in farmers family,Number of adults in farmers family,True
Number of boys in the family (living in the farm household),Number of boys in the family (living in the farm household),True
Number of girls in the family (living in the farm household),Number of girls in the family (living in the farm household),True
Completion status step 3,Completion status step 3,True
Remarks step 3,Remarks step 3,True
Year joined Nescafe Plan,Year joined Nescafe Plan,True
Number of Nescafe training sessions in last 12 months male,Number of Nescafe training sessions in last 12 months male,True
Number of Nescafe training sessions in last 12 months female,Number of Nescafe training sessions in last 12 months female,True
Number of Nescafe training sessions in last 12 months youth 18-29,Number of Nescafe training sessions in last 12 months youth 18-29,True
Number of technical visits by Nescafe /project staff in last 12 months:,Number of technical visits by Nescafe /project staff in last 12 months:,True
Yes - from Nescafe,Yes - from Nescafe,True
Yes - other sources such as government,Yes - other sources such as government,True
Yes - from unknown source,Yes - from unknown source,True
Produced planlets in their own nursery,Produced planlets in their own nursery,True
Hasnt sourced any planlets,Hasnt sourced any planlets,True
When did the farmer last receive/purchase coffee plantlets from Nescafe?,When did the farmer last receive/purchase coffee plantlets from Nescafe?,True
How many coffee plantlets has the farmer received / purchased from Nescafe in the past 12 months?,How many coffee plantlets has the farmer received / purchased from Nescafe in the past 12 months?,True
What % of coffee plantlets received and planted (cumulative) from Nescafe have survived to date?,What % of coffee plantlets received and planted (cumulative) from Nescafe have survived to date?,True
Classify the current condition of the plantlets (received from Nescafe):,Classify the current condition of the plantlets (received from Nescafe):,True
How satisfied is the farmer with the quality of plantlets received from Nescafe?,How satisfied is the farmer with the quality of plantlets received from Nescafe?,True
Expansion,Expansion,True
Filling up the gaps/renovation,Filling up the gaps/renovation,True
Not applicable,Not applicable,True
Completion status step 4,Completion status step 4,True
Remarks step 4,Remarks step 4,True
Average Green Bean Price,Average Green Bean Price,True
Average Wet Parchment Price,Average Wet Parchment Price,True
Average Dry Parchment Price,Average Dry Parchment Price,True
Average Fresh Cherry Price,Average Fresh Cherry Price,True
Average Dry Cherry Price,Average Dry Cherry Price,True
Average Husk Coffee Price,Average Husk Coffee Price,True
Coffee Family Labor (days/year) - male,Coffee Family Labor (days/year) - male,True
Coffee Family Labor (days/year) - female,Coffee Family Labor (days/year) - female,True
Coffee Family Labor (days/year) - other family members,Coffee Family Labor (days/year) - other family members,True
Coffee Total Family Labor,Coffee Total Family Labor,True
Coffee Temp Labor,Coffee Temp Labor,True
Coffee Permanent Labor,Coffee Permanent Labor,True
Coffee Average wage of paid labor/day,Coffee Average wage of paid labor/day,True
1st cash crop Family Labor (days/year) - male,1st cash crop Family Labor (days/year) - male,True
1st cash crop Family Labor (days/year) - female,1st cash crop Family Labor (days/year) - female,True
1st cash crop Family Labor (days/year) - other family members,1st cash crop Family Labor (days/year) - other family members,True
1st cash crop Total Family Labor,1st cash crop Total Family Labor,True
1st cash crop Temp Labor,1st cash crop Temp Labor,True
1st cash crop Permanent Labor,1st cash crop Permanent Labor,True
1st Cash Crop Average wage of paid labor/day,1st Cash Crop Average wage of paid labor/day,True
2nd cash crop Family Labor (days/year) - male,2nd cash crop Family Labor (days/year) - male,True
2nd cash crop Family Labor (days/year) - female,2nd cash crop Family Labor (days/year) - female,True
2nd cash crop Family Labor (days/year) - other family members,2nd cash crop Family Labor (days/year) - other family members,True
2nd cash crop Total Family Labor,2nd cash crop Total Family Labor,True
2nd cash crop Temp Labor,2nd cash crop Temp Labor,True
2nd cash crop Permanent Labor,2nd cash crop Permanent Labor,True
2nd Cash Crop Average wage of paid labor/day,2nd Cash Crop Average wage of paid labor/day,True
Other crop Family Labor (days/year) - male,Other crop Family Labor (days/year) - male,True
Other crop Family Labor (days/year) - female,Other crop Family Labor (days/year) - female,True
Other crop Family Labor (days/year) - other family members,Other crop Family Labor (days/year) - other family members,True
Total Other crop Family Labor,Total Other crop Family Labor,True
Other crop Temp Labor,Other crop Temp Labor,True
Other crop Permanent Labor,Other crop Permanent Labor,True
Other Crops Average wage of paid labor/day,Other Crops Average wage of paid labor/day,True
Livestock Family Labor (days/year) - male,Livestock Family Labor (days/year) - male,True
Livestock Family Labor (days/year) - female,Livestock Family Labor (days/year) - female,True
Livestock Family Labor(days/year) - other family members,Livestock Family Labor(days/year) - other family members,True
Livestock Total Family Labor,Livestock Total Family Labor,True
Livestock Temp Labor,Livestock Temp Labor,True
Livestock Permanent Labor,Livestock Permanent Labor,True
Livestock Average wage of paid labor/day,Livestock Average wage of paid labor/day,True
Coffee Fertilizer,Coffee Fertilizer,True
Coffee Agrochemicals,Coffee Agrochemicals,True
Coffee Herbicide,Coffee Herbicide,True
Coffee Water for irrigation,Coffee Water for irrigation,True
Coffee Electricity / fuel for irrigation,Coffee Electricity / fuel for irrigation,True
Coffee Plantlet / planting material,Coffee Plantlet / planting material,True
Coffee Other input,Coffee Other input,True
Coffee Other input Comment,Coffee Other input Comment,True
Coffee Total input cost,Coffee Total input cost,True
1st Cash Crop Fertilizer,1st Cash Crop Fertilizer,True
1st Cash Crop Agrochemicals,1st Cash Crop Agrochemicals,True
1st Cash Crop Herbicide,1st Cash Crop Herbicide,True
1st Cash Crop Water for irrigation,1st Cash Crop Water for irrigation,True
1st Cash Crop Electricity / fuel for irrigation,1st Cash Crop Electricity / fuel for irrigation,True
1st Cash Crop Plantlet / planting material,1st Cash Crop Plantlet / planting material,True
1st Cash Crop Other input,1st Cash Crop Other input,True
1st Cash Crop Other input Comment,1st Cash Crop Other input Comment,True
1st Cash Crop Total input cost,1st Cash Crop Total input cost,True
2nd Cash Crop Fertilizer,2nd Cash Crop Fertilizer,True
2nd Cash Crop Agrochemicals,2nd Cash Crop Agrochemicals,True
2nd Cash Crop Herbicide,2nd Cash Crop Herbicide,True
2nd Cash Crop Water for irrigation,2nd Cash Crop Water for irrigation,True
2nd Cash Crop Electricity / fuel for irrigation,2nd Cash Crop Electricity / fuel for irrigation,True
2nd Cash Crop Plantlet / planting material,2nd Cash Crop Plantlet / planting material,True
2nd Cash Crop Other input,2nd Cash Crop Other input,True
2nd Cash Crop Other input Comment,2nd Cash Crop Other input Comment,True
2nd Cash Crop Total input cost,2nd Cash Crop Total input cost,True
Other Crops Fertilizer,Other Crops Fertilizer,True
Other Crops Agrochemicals,Other Crops Agrochemicals,True
Other Crops Herbicide,Other Crops Herbicide,True
Other Crops Water for irrigation,Other Crops Water for irrigation,True
Other Crops Electricity / fuel for irrigation,Other Crops Electricity / fuel for irrigation,True
Other Crops Plantlet / planting material,Other Crops Plantlet / planting material,True
Other Crops Other input,Other Crops Other input,True
Other Crops Other input Comment,Other Crops Other input Comment,True
Other Crops Total input cost,Other Crops Total input cost,True
Livestock Animal feed,Livestock Animal feed,True
Livestock Animal feed Comment,Livestock Animal feed Comment,True
Livestock Veterinary expenses,Livestock Veterinary expenses,True
Livestock Veterinary expenses Comment,Livestock Veterinary expenses Comment,True
"Livestock Equipment, material and ustensils","Livestock Equipment, material and ustensils",True
"Livestock Equipment, material and ustensils Comment","Livestock Equipment, material and ustensils Comment",True
Livestock Electricity and fuels,Livestock Electricity and fuels,True
LivestockElectricity and fuels Comment,LivestockElectricity and fuels Comment,True
Livestock Transportation,Livestock Transportation,True
Livestock Transportation Comment,Livestock Transportation Comment,True
Livestock Other input,Livestock Other input,True
Livestock Other input cost Comment,Livestock Other input cost Comment,True
Livestock Total input cost,Livestock Total input cost,True
Coffee - Other expenses,Coffee - Other expenses,True
1st cash crop - Other expenses,1st cash crop - Other expenses,True
2nd cash crop - Other expenses,2nd cash crop - Other expenses,True
Other Crops - Other expenses,Other Crops - Other expenses,True
Volume,Volume,True
Robusta sold to Nestle - Coffee volume amount of green coffee bean,Robusta sold to Nestle - Coffee volume amount of green coffee bean,True
Robusta sold to Nestle - Price of green coffee bean (Currency/Volume unit),Robusta sold to Nestle - Price of green coffee bean (Currency/Volume unit),True
Robusta sold to Nestle - Coffee volume amount of fresh cherry,Robusta sold to Nestle - Coffee volume amount of fresh cherry,True
Robusta sold to Nestle - Price of fresh cherry (Currency/Volume unit),Robusta sold to Nestle - Price of fresh cherry (Currency/Volume unit),True
Robusta sold to Nestle - Coffee volume amount of dry cherry (Volume unit),Robusta sold to Nestle - Coffee volume amount of dry cherry (Volume unit),True
Robusta sold to Nestle - Price of dry cherry (Currency/Volume unit),Robusta sold to Nestle - Price of dry cherry (Currency/Volume unit),True
Robusta sold to Nestle - Coffee volume amount of dry parchment (Volume unit),Robusta sold to Nestle - Coffee volume amount of dry parchment (Volume unit),True
Robusta sold to Nestle - Price of dry parchment (Currency/Volume unit),Robusta sold to Nestle - Price of dry parchment (Currency/Volume unit),True
Robusta sold to Nestle - Notes (i.e. the reason why the coffee yield is very low or very high),Robusta sold to Nestle - Notes (i.e. the reason why the coffee yield is very low or very high),True
Robusta sold to others - Coffee volume amount of green coffee bean,Robusta sold to others - Coffee volume amount of green coffee bean,True
Robusta sold to others - Price of green coffee bean (Currency/Volume unit),Robusta sold to others - Price of green coffee bean (Currency/Volume unit),True
Robusta sold to others - Coffee volume amount of fresh cherry,Robusta sold to others - Coffee volume amount of fresh cherry,True
Robusta sold to others - Price of fresh cherry (Currency/Volume unit),Robusta sold to others - Price of fresh cherry (Currency/Volume unit),True
Robusta sold to others - Coffee volume amount of dry cherry (Volume unit),Robusta sold to others - Coffee volume amount of dry cherry (Volume unit),True
Robusta sold to others - Price of dry cherry (Currency/Volume unit),Robusta sold to others - Price of dry cherry (Currency/Volume unit),True
Robusta sold to others - Notes (i.e. the reason why the coffee yield is very low or very high),Robusta sold to others - Notes (i.e. the reason why the coffee yield is very low or very high),True
Arabica sold to Nestle - Coffee volume amount of green coffee bean,Arabica sold to Nestle - Coffee volume amount of green coffee bean,True
Arabica sold to Nestle - Price of green coffee bean (Currency/Volume unit),Arabica sold to Nestle - Price of green coffee bean (Currency/Volume unit),True
Arabica sold to Nestle - Coffee volume amount of fresh cherry,Arabica sold to Nestle - Coffee volume amount of fresh cherry,True
Arabica sold to Nestle - Price of fresh cherry (Currency/Volume unit),Arabica sold to Nestle - Price of fresh cherry (Currency/Volume unit),True
Arabica sold to Nestle - Coffee volume amount of wet parchment (Volume unit),Arabica sold to Nestle - Coffee volume amount of wet parchment (Volume unit),True
Arabica sold to Nestle - Price of wet parchment (Currency/Volume unit),Arabica sold to Nestle - Price of wet parchment (Currency/Volume unit),True
Arabica sold to Nestle - Coffee volume amount of dry parchment (Volume unit),Arabica sold to Nestle - Coffee volume amount of dry parchment (Volume unit),True
Arabica sold to Nestle - Price of dry parchment (Currency/Volume unit),Arabica sold to Nestle - Price of dry parchment (Currency/Volume unit),True
Arabica sold to Nestle - Coffee volume amount of husk coffee (Volume unit),Arabica sold to Nestle - Coffee volume amount of husk coffee (Volume unit),True
Arabica sold to Nestle - Price of husk coffee (Currency/Volume unit),Arabica sold to Nestle - Price of husk coffee (Currency/Volume unit),True
Arabica sold to Nestle - Notes (i.e. the reason why the coffee yield is very low or very high),Arabica sold to Nestle - Notes (i.e. the reason why the coffee yield is very low or very high),True
Arabica sold to others - Coffee volume amount of green coffee bean (Volume unit),Arabica sold to others - Coffee volume amount of green coffee bean (Volume unit),True
Arabica sold to others - Price of green coffee bean (Currency/Volume unit),Arabica sold to others - Price of green coffee bean (Currency/Volume unit),True
Arabica sold to others - Coffee volume amount of fresh cherry (Volume unit),Arabica sold to others - Coffee volume amount of fresh cherry (Volume unit),True
Arabica sold to others - Price of fresh cherry (Currency/Volume unit),Arabica sold to others - Price of fresh cherry (Currency/Volume unit),True
Arabica sold to others - Coffee volume amount of dry cherry (Volume unit),Arabica sold to others - Coffee volume amount of dry cherry (Volume unit),True
Arabica sold to others - Price of dry cherry (Currency/Volume unit),Arabica sold to others - Price of dry cherry (Currency/Volume unit),True
Arabica sold to others - Coffee volume amount of wet parchment (Volume unit),Arabica sold to others - Coffee volume amount of wet parchment (Volume unit),True
Arabica sold to others - Price of wet parchment (Currency/Volume unit),Arabica sold to others - Price of wet parchment (Currency/Volume unit),True
Arabica sold to others - Coffee volume amount of dry parchment (Volume unit),Arabica sold to others - Coffee volume amount of dry parchment (Volume unit),True
Arabica sold to others - Price of dry parchment (Currency/Volume unit),Arabica sold to others - Price of dry parchment (Currency/Volume unit),True
Arabica sold to others - Notes (i.e. the reason why the coffee yield is very low or very high),Arabica sold to others - Notes (i.e. the reason why the coffee yield is very low or very high),True
Unsold coffee (in the storage) - Coffee volume amount of green coffee bean,Unsold coffee (in the storage) - Coffee volume amount of green coffee bean,True
Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit),Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit),True
Unsold coffee (in the storage) - Coffee volume amount of fresh cherry,Unsold coffee (in the storage) - Coffee volume amount of fresh cherry,True
Unsold coffee (in the storage) - Price of fresh cherry (Currency/Volume unit),Unsold coffee (in the storage) - Price of fresh cherry (Currency/Volume unit),True
Unsold coffee (in the storage) - Coffee volume amount of wet parchment (Volume unit),Unsold coffee (in the storage) - Coffee volume amount of wet parchment (Volume unit),True
Unsold coffee (in the storage) - Price of wet parchment (Currency/Volume unit),Unsold coffee (in the storage) - Price of wet parchment (Currency/Volume unit),True
Unsold coffee (in the storage) - Coffee volume amount of dry parchment (Volume unit),Unsold coffee (in the storage) - Coffee volume amount of dry parchment (Volume unit),True
Unsold coffee (in the storage) - Price of dry parchment (Currency/Volume unit),Unsold coffee (in the storage) - Price of dry parchment (Currency/Volume unit),True
Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high),Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high),True
Species - 2,Species - 2,True
Unsold coffee (in the storage) - Coffee volume amount of green coffee bean - 2,Unsold coffee (in the storage) - Coffee volume amount of green coffee bean - 2,True
Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit) - 2,Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit) - 2,True
Unsold coffee (in the storage) - Coffee volume amount of dry cherry (Volume unit) - 2,Unsold coffee (in the storage) - Coffee volume amount of dry cherry (Volume unit) - 2,True
Unsold coffee (in the storage) - Price of dry cherry (Currency/Volume unit) - 2,Unsold coffee (in the storage) - Price of dry cherry (Currency/Volume unit) - 2,True
Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 2,Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 2,True
Unharvested - Coffee volume amount of green coffee bean,Unharvested - Coffee volume amount of green coffee bean,True
Unharvested - Price of green coffee bean (Currency/Volume unit),Unharvested - Price of green coffee bean (Currency/Volume unit),True
Unharvested - Coffee volume amount of fresh cherry,Unharvested - Coffee volume amount of fresh cherry,True
Unharvested - Price of fresh cherry (Currency/Volume unit),Unharvested - Price of fresh cherry (Currency/Volume unit),True
Unharvested - Coffee volume amount of dry cherry (Volume unit),Unharvested - Coffee volume amount of dry cherry (Volume unit),True
Unharvested - Price of dry cherry (Currency/Volume unit),Unharvested - Price of dry cherry (Currency/Volume unit),True
Unharvested - Coffee volume amount of dry parchment (Volume unit),Unharvested - Coffee volume amount of dry parchment (Volume unit),True
Unharvested - Price of dry parchment (Currency/Volume unit),Unharvested - Price of dry parchment (Currency/Volume unit),True
Unharvested - Notes (i.e. the reason why the coffee yield is very low or very high),Unharvested - Notes (i.e. the reason why the coffee yield is very low or very high),True
Unharvested - The reason why the farmer didnt harvest all coffee cherries,Unharvested - The reason why the farmer didnt harvest all coffee cherries,True
Harvest sharing - Coffee volume amount of green coffee bean,Harvest sharing - Coffee volume amount of green coffee bean,True
Harvest sharing - Price of green coffee bean (Currency/Volume unit),Harvest sharing - Price of green coffee bean (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of fresh cherry,Harvest sharing - Coffee volume amount of fresh cherry,True
Harvest sharing - Price of fresh cherry (Currency/Volume unit),Harvest sharing - Price of fresh cherry (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of dry cherry (Volume unit),Harvest sharing - Coffee volume amount of dry cherry (Volume unit),True
Harvest sharing - Price of dry cherry (Currency/Volume unit),Harvest sharing - Price of dry cherry (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of wet parchment (Volume unit),Harvest sharing - Coffee volume amount of wet parchment (Volume unit),True
Harvest sharing - Price of wet parchment (Currency/Volume unit),Harvest sharing - Price of wet parchment (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of dry parchment (Volume unit),Harvest sharing - Coffee volume amount of dry parchment (Volume unit),True
Harvest sharing - Price of dry parchment (Currency/Volume unit),Harvest sharing - Price of dry parchment (Currency/Volume unit),True
Harvest sharing - Notes (i.e. the reason why the coffee yield is very low or very high),Harvest sharing - Notes (i.e. the reason why the coffee yield is very low or very high),True
1st main cash crop - Volume amount,1st main cash crop - Volume amount,True
1st main cash crop - Price amount,1st main cash crop - Price amount,True
1st main cash crop - Total revenue,1st main cash crop - Total revenue,True
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit),True
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit),True
2nd main cash crop - Volume amount,2nd main cash crop - Volume amount,True
2nd main cash crop - Price amount,2nd main cash crop - Price amount,True
2nd main cash crop - Total revenue,2nd main cash crop - Total revenue,True
Other crop 1 main cash crop - Volume amount,Other crop 1 main cash crop - Volume amount,True
Other crop 1 main cash crop - Price amount,Other crop 1 main cash crop - Price amount,True
Other crop 1 main cash crop - Total revenue,Other crop 1 main cash crop - Total revenue,True
Other crop 2 main cash crop - Volume amount,Other crop 2 main cash crop - Volume amount,True
Other crop 2 main cash crop - Price amount,Other crop 2 main cash crop - Price amount,True
Other crop 2 main cash crop - Total revenue,Other crop 2 main cash crop - Total revenue,True
Other crops main cash crop - Volume amount,Other crops main cash crop - Volume amount,True
Other crops main cash crop - Price amount,Other crops main cash crop - Price amount,True
Other crops main cash crop - Total revenue,Other crops main cash crop - Total revenue,True
Livestock - Volume amount,Livestock - Volume amount,True
Livestock - Price amount,Livestock - Price amount,True
Livestock - Total revenue,Livestock - Total revenue,True
Non-commercialcrop 1,Non-commercialcrop 1,True
Non-commercialcrop 1 - Volume amount,Non-commercialcrop 1 - Volume amount,True
"Non-commercialcrop 1 - Price amount, if farmers difficult to answer, refer to the market price","Non-commercialcrop 1 - Price amount, if farmers difficult to answer, refer to the market price",True
Non-commercialcrop 1 - Total revenue,Non-commercialcrop 1 - Total revenue,True
Non-commercialcrop 2,Non-commercialcrop 2,True
Non-commercialcrop 2 - Volume amount,Non-commercialcrop 2 - Volume amount,True
"Non-commercialcrop 2 - Price amount, if farmers difficult to answer, refer to the market price","Non-commercialcrop 2 - Price amount, if farmers difficult to answer, refer to the market price",True
Non-commercialcrop 2 - Total revenue,Non-commercialcrop 2 - Total revenue,True
Non-commercialcrop 3,Non-commercialcrop 3,True
Non-commercial crop 3 - Volume amount,Non-commercial crop 3 - Volume amount,True
"Non-commercial crop 3 - Price amount, if farmers difficult to answer, refer to the market price","Non-commercial crop 3 - Price amount, if farmers difficult to answer, refer to the market price",True
Non-commercialcrop 3 - Total revenue,Non-commercialcrop 3 - Total revenue,True
Source of off-farm income,Source of off-farm income,True
Off-farm income (in total),Off-farm income (in total),True
"What is the percentage of coffee crop land covered, during the whole year, with cover crops and/or application of crop residues, mulch, grass, clipping, straw and/or through agroforestry, coffee canopy, etc.? (acreage covered/total coffee acreage x 100)","What is the percentage of coffee crop land covered, during the whole year, with cover crops and/or application of crop residues, mulch, grass, clipping, straw and/or through agroforestry, coffee canopy, etc.? (acreage covered/total coffee acreage x 100)",True
"Do you implement any form of erosion control (e.g. terracing, contour planting, windbreaks, soil coverage, basin - on 100% of the field acreage)?","Do you implement any form of erosion control (e.g. terracing, contour planting, windbreaks, soil coverage, basin - on 100% of the field acreage)?",True
"What is the percentage of agricultural land with severe water and wind erosion (signs: siltation, sheet-rill-gully erosion, flying dust; as estimation)?","What is the percentage of agricultural land with severe water and wind erosion (signs: siltation, sheet-rill-gully erosion, flying dust; as estimation)?",True
"Do you perform regularly a soil analysis (lab, soil test kit)?","Do you perform regularly a soil analysis (lab, soil test kit)?",True
Upload evidence,Upload evidence,True
"On average, what is the interval of soil analysis (lab, soil test kit) for texture, pH, SOM, nitrogen (N), phosphorus (P), and potassium (K) (farm sample or a representative sample of a group of smallholdings in the same area)","On average, what is the interval of soil analysis (lab, soil test kit) for texture, pH, SOM, nitrogen (N), phosphorus (P), and potassium (K) (farm sample or a representative sample of a group of smallholdings in the same area)",True
"Do you calculate your annual fertilizer plan on the basis of crop nutrient requirements (e.g. recent soil analysis, productivity, crop cycle)?","Do you calculate your annual fertilizer plan on the basis of crop nutrient requirements (e.g. recent soil analysis, productivity, crop cycle)?",True
What is the soil organic matter (SOM) level in your soils (%)?,What is the soil organic matter (SOM) level in your soils (%)?,True
What is the Soil pH?,What is the Soil pH?,True
"What is the percentage of coffee crop land that receives, annually, organic fertilizer, and/or composted organic matter?","What is the percentage of coffee crop land that receives, annually, organic fertilizer, and/or composted organic matter?",True
Organic fertilizer applied kg per ha,Organic fertilizer applied kg per ha,True
Total fertilizer applied kg per ha,Total fertilizer applied kg per ha,True
Percentage organic fertiliser vs total fertiliser applied per ha (organic/ total applied x 100),Percentage organic fertiliser vs total fertiliser applied per ha (organic/ total applied x 100),True
What is the most frequently used fertilizer,What is the most frequently used fertilizer,True
N%,N%,True
P%,P%,True
K%,K%,True
How much you apply per year,How much you apply per year,True
How many ha in the coffee area,How many ha in the coffee area,True
Yield GC per ha,Yield GC per ha,True
N Productivity (NP) = Y/N (Yield kg GC per ha / N kg applied per ha),N Productivity (NP) = Y/N (Yield kg GC per ha / N kg applied per ha),True
"Are you applying 4C unacceptable and/or red listed agro-inputs (insecticides, fungicides, herbicides) in your farm?","Are you applying 4C unacceptable and/or red listed agro-inputs (insecticides, fungicides, herbicides) in your farm?",True
How often are you applying herbicides (per year),How often are you applying herbicides (per year),True
Which integrated weed management practices do you apply (on 100% of the field acreage)?,Which integrated weed management practices do you apply (on 100% of the field acreage)?,True
What is the % of the tree stock below 8 years of age (trees and/or productive stems or productive canopy e.g. Vietnam)?,What is the % of the tree stock below 8 years of age (trees and/or productive stems or productive canopy e.g. Vietnam)?,True
"What is the percentage of agricultural area being biodiversity habitats such as hedges, trees alley, wind breaks, flower strip, green belts, riparian area, border trees, natural habitats non farmed area (that could potentially be cultivated), etc? (agriculture area with biodiversity habitat / total crop land x 100)","What is the percentage of agricultural area being biodiversity habitats such as hedges, trees alley, wind breaks, flower strip, green belts, riparian area, border trees, natural habitats non farmed area (that could potentially be cultivated), etc? (agriculture area with biodiversity habitat / total crop land x 100)",True
Do you keep bee hives in your farm?,Do you keep bee hives in your farm?,True
"What is the percentage of agriculture land dedicated to agroforestry (coffee with commercial tree species, non-crop trees like native trees, shade trees, nitrofixing trees)?","What is the percentage of agriculture land dedicated to agroforestry (coffee with commercial tree species, non-crop trees like native trees, shade trees, nitrofixing trees)?",True
What is the total number of non-coffee trees within the coffee plot and/or field border (converted per ha),What is the total number of non-coffee trees within the coffee plot and/or field border (converted per ha),True
Number of different tree species (non-coffee) within the coffee plot and/or field border,Number of different tree species (non-coffee) within the coffee plot and/or field border,True
Do you irrigate your coffee?,Do you irrigate your coffee?,True
Do you know the water usage?,Do you know the water usage?,True
Do you conduct wet processing at the farm?,Do you conduct wet processing at the farm?,True
Do you consistent monitor and record total water usage for irrigation at the farm - if applicable,Do you consistent monitor and record total water usage for irrigation at the farm - if applicable,True
