entity_id,year_of_reporting,coffee_land_with_cover_crop_percent,has_erosion_control,agricultural_land_with_severe_erosion_percent,performs_soil_analysis,soil_analysis_interval,calculates_fertilizer_plan,soil_organic_matter_percent,soil_ph,coffee_land_receiving_organic_fertilizer_percent,organic_fertilizer_kg_per_ha,total_fertilizer_kg_per_ha,organic_fertilizer_percent_of_total,most_used_fertilizer,n_percent,p_percent,k_percent,fertilizer_applied_per_year,coffee_area_ha,yield_gc_per_ha,n_productivity_np,uses_red_listed_agro_inputs,herbicide_application_frequency_per_year,weed_management_practices
1470157558564694722,2024,>75%,Yes,0%,Yes,1&2,Yes,3.75,4.13,100.0,7368.0,8931.0,82.5,npk 20-5-5,20.0,5.0,5.0,5000.0,3.2,3906.0,12.5,No,0,mowing/cutting
1470157558564694903,2024,>75%,Yes,0%,Yes,1&2,Yes,3.49,3.86,100.0,1250.0,2469.0,50.63,ure,46.0,0.0,0.0,1950.0,1.6,5000.0,8.92,No,0,mowing/cutting
1470157558564694972,2024,51%-75%,Yes,0%,Yes,1&2,Yes,6.45,4.45,100.0,10000.0,14116.0,70.84,npk 20-5-5,20.0,5.0,5.0,1400.0,0.34,4412.0,5.36,No,0,combination of practices
1470157558564694797,2024,>75%,Yes,0%,Yes,1&2,Yes,4.49,4.06,100.0,2146.0,4937.0,43.47,npk 16-16-8,16.0,16.0,8.0,5720.0,2.05,5561.0,12.46,No,0,mowing/cutting
1470157558564695074,2024,>75%,Yes,0%,Yes,1&2,Yes,6.22,4.18,100.0,11488.0,15091.0,76.12,ure,46.0,0.0,0.0,13799.0,3.83,5222.0,3.15,No,0,mowing/cutting
1470157558564694799,2024,>75%,Yes,0%,Yes,1&2,Yes,4.49,4.06,100.0,3000.0,5200.0,57.69,npk 25-5-19,25.0,5.0,19.0,3300.0,1.5,4200.0,7.64,No,0,mowing/cutting
1470157558564695163,2024,>75%,Yes,0%,Yes,1&2,Yes,5.44,3.91,100.0,539.0,1402.0,38.45,ure,46.0,0.0,0.0,1200.0,1.39,1799.0,4.53,No,1,mowing/cutting
1470157558564695952,2024,>75%,Yes,0%,Yes,1&2,Yes,5.83,3.92,100.0,2750.0,4300.0,63.95,npk 20-5-5,20.0,5.0,5.0,1550.0,1.0,5000.0,16.13,No,0,mowing/cutting
1470157558564695873,2024,>75%,Yes,0%,Yes,1&2,Yes,4.77,3.89,100.0,1000.0,2963.0,33.75,npk 20-20-10,20.0,20.0,10.0,3925.0,2.0,4500.0,11.46,No,0,mowing/cutting
1470157558564695063,2024,>75%,Yes,0%,Yes,1&2,Yes,6.67,4.29,100.0,758.0,3788.0,20.01,npk 20-5-5,20.0,5.0,5.0,3000.0,0.99,5051.0,8.33,No,0,mowing/cutting
1470157558564695879,2024,>75%,Yes,0%,Yes,1&2,Yes,4.77,3.89,100.0,7619.0,14381.0,52.98,ure,46.0,0.0,0.0,7100.0,1.05,6381.0,2.05,No,0,mowing/cutting
1470157558564696002,2024,>75%,Yes,0%,Yes,1&2,Yes,5.38,3.89,100.0,1250.0,2812.5,44.44,ure,45.0,0.0,0.0,625.0,0.4,4000.0,5.69,No,0,mowing/cutting
1470157558564695991,2024,26%-50%,Yes,0%,Yes,1&2,Yes,5.38,3.89,100.0,1000.0,2500.0,40.0,npk 16-16-8,16.0,16.0,8.0,750.0,0.46,3478.0,13.33,No,0,mowing/cutting
1470157558564695965,2024,>75%,Yes,0%,Yes,1&2,Yes,5.83,3.92,100.0,22105.0,25263.0,87.5,npk 16 -16-8,16.0,16.0,8.0,12000.0,3.8,4474.0,8.85,No,0,mowing/cutting
1470157558564695118,2024,>75%,No,0%,Yes,1&2,Yes,6.2,4.15,100.0,25862.0,26207.0,98.68,npk 16-16-8,16.0,16.0,8.0,200.0,0.58,4310.0,78.12,No,0,mowing/cutting
1470157558564694820,2024,>75%,Yes,0%,Yes,1&2,Yes,3.85,3.62,100.0,1333.0,3500.0,38.09,npk 20-10-10,20.0,10.0,10.0,3250.0,1.5,5000.0,11.54,No,0,mowing/cutting
1470157558564695191,2024,>75%,Yes,0%,Yes,1&2,Yes,2.66,3.86,0.0,0.0,836.0,0.0,npk 20-5-6,20.0,5.0,6.0,2300.0,2.75,1926.0,11.51,No,1,combination of practices
1470157558564695739,2024,>75%,Yes,0%,Yes,1&2,Yes,4.27,3.83,100.0,750.0,3665.0,20.46,npk 20-5-5,20.0,5.0,5.0,8750.0,3.0,4667.0,8.0,No,0,mowing/cutting
1470157558564695307,2024,>75%,No,0%,Yes,1&2,Yes,5.87,4.1,0.0,0.0,3063.0,0.0,npk 20-10-10,20.0,10.0,10.0,2450.0,0.8,6250.0,10.2,No,0,mowing/cutting
1470157558564695573,2024,>75%,No,0%,Yes,1&2,Yes,3.45,3.89,100.0,625.0,2969.0,21.05,npk 20-15-5,20.0,15.0,5.0,3516.0,1.5,4000.0,8.53,No,0,mowing/cutting
1470157558564695554,2024,>75%,Yes,0%,Yes,1&2,Yes,3.68,3.95,100.0,4211.0,7474.0,56.34,npk 16-16-8,16.0,16.0,8.0,3100.0,0.95,7368.0,14.11,No,0,mowing/cutting
1470157558564695390,2024,>75%,Yes,0%,Yes,1&2,Yes,4.11,3.96,100.0,1071.0,2500.0,42.84,ure,46.0,0.0,0.0,2000.0,1.4,3214.0,4.89,No,0,mowing/cutting
1470157558564695569,2024,>75%,Yes,0%,Yes,1&2,Yes,3.68,3.95,100.0,12812.0,15644.0,81.9,ure,46.0,0.0,0.0,6800.0,2.4,3792.0,2.91,No,1,combination of practices
1470157558564695558,2024,51%-75%,No,0%,Yes,1&2,Yes,3.68,3.95,100.0,1803.0,3371.5,53.48,npk 20-10-10,20.0,10.0,10.0,4000.0,2.55,5020.0,16.0,No,0,mowing/cutting
1470157558564695628,2024,51%-75%,Yes,0%,Yes,1&2,Yes,3.45,3.89,0.0,0.0,1974.0,0.0,npk 20-10-10,20.0,10.0,10.0,1500.0,0.76,2632.0,6.67,No,1,combination of practices
1470157558564695562,2024,>75%,Yes,0%,Yes,1&2,Yes,3.68,3.95,100.0,2439.0,4268.0,57.15,npk17-7-17,17.0,7.0,17.0,3750.0,2.05,3659.0,11.77,No,0,mowing/cutting
1470157558564695658,2024,>75%,Yes,0%,Yes,1&2,Yes,3.47,4.01,0.0,0.0,3500.0,0.0,npk20-5-5,20.0,5.0,5.0,7000.0,2.0,4200.0,6.0,No,0,mowing/cutting
1470157558564695386,2024,>75%,No,0%,Yes,1&2,Yes,4.11,3.96,70.0,19607.0,22547.0,86.96,20-5-6,20.0,5.0,6.0,4500.0,1.53,6601.0,11.22,No,0,mowing/cutting
1470157558564695504,2024,>75%,Yes,0%,Yes,1&2,Yes,5.0,4.41,100.0,8333.0,10861.0,76.72,npk 20-5-5,20.0,5.0,5.0,9100.0,3.6,4944.0,9.78,No,0,mowing/cutting
1470157558564695096,2024,>75%,Yes,0%,Yes,1&2,Yes,5.44,3.91,100.0,5882.0,8471.0,69.44,npk 20-10-10,20.0,10.0,10.0,2200.0,0.85,3294.0,6.36,No,0,mowing/cutting
1469278379854639342,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,6250.0,7875.0,79.37,ure,46.0,0.0,0.0,6500.0,4.0,5000.0,6.69,No,1,combination of practices
1469278379854638502,2024,26%-50%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,6000.0,8000.0,75.0,npk 20-10-15,20.0,10.0,15.0,4000.0,2.0,4000.0,10.0,No,0,combination of practices
1469278379854638316,2024,26%-50%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,16500.0,18750.0,88.0,NPK 22-6-4,22.0,6.0,4.0,2700.0,1.2,4167.0,8.42,No,0,combination of practices
1469883818362504539,2024,51%-75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,0.0,,1920.0,0.0,npk 20-20-15,20.0,20.0,15.0,9600.0,5.0,4800.0,12.5,No,0,combination of practices
1469278379855013128,2024,>75%,Yes,0%,Yes,3,Yes,4.99,4.02,100.0,3000.0,5100.0,58.82,NPK 20-10-10,20.0,10.0,10.0,4200.0,2.0,3500.0,8.33,No,0,combination of practices
1469278379855012334,2024,>75%,Yes,0%,Yes,3,Yes,5.8,4.42,100.0,22100.0,26045.0,84.85,NPK16-8-16,16.0,8.0,16.0,7496.0,1.9,4211.0,6.67,No,0,combination of practices
1469278379855013186,2024,>75%,Yes,0%,Yes,4,Yes,5.28,5.18,100.0,12000.0,13300.0,90.23,NPK 20-5-5,20.0,5.0,5.0,1300.0,1.0,3000.0,11.54,No,0,combination of practices
1469883818362504743,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,6000.0,7600.0,78.95,npk 20-5-5,20.0,5.0,5.0,3200.0,2.0,750.0,2.34,No,0,combination of practices
1469278379854782274,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,2000.0,0.0,NPK 20.8.20,20.0,8.0,20.0,1800.0,0.9,4444.0,11.11,No,0,mowing/cutting
1469278379855014872,2024,>75%,Yes,0%,Yes,1&2,Yes,4.73,5.31,100.0,7428.0,9392.0,79.09,npk 20-5-5 phú m?,20.0,5.0,5.0,2750.0,1.4,2857.0,7.27,No,0,mowing/cutting
1469278379855004447,2024,>75%,Yes,0%,Yes,1&2,Yes,3.81,4.49,100.0,3636.0,5091.0,71.42,npk phú m? 20-5-5,20.0,5.0,5.0,4800.0,3.3,3485.0,11.98,No,0,combination of practices
1469278379854781944,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,2000.0,0.0,NPK 20-20-15,20.0,20.0,15.0,4000.0,2.0,2000.0,5.0,No,0,mowing/cutting
1469278379854781789,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,20000.0,20968.0,95.38,NPk 20.6.19,20.0,6.0,19.0,2904.0,3.0,1333.0,6.89,No,0,mowing/cutting
1469278379854781780,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,0.0,,2800.0,0.0,NPk 16.16.8,16.0,16.0,8.0,2688.0,0.96,1100.0,2.46,No,0,mowing/cutting
1469278379855014611,2024,>75%,Yes,1%-25%,Yes,1&2,Yes,5.08,3.95,100.0,12727.0,14134.0,90.05,NPK 24-8-7,24.0,8.0,7.0,1547.7,1.1,3181.81818,9.42,No,0,combination of practices
1469278379855014782,2024,>75%,Yes,0%,Yes,1&2,Yes,3.28,4.28,100.0,5000.0,7000.0,71.43,npk ??u trâu 20-10-5,20.0,10.0,5.0,4000.0,2.0,4000.0,10.0,No,0,mowing/cutting
1469278379855013420,2024,>75%,Yes,0%,Yes,1&2,Yes,3.25,4.06,100.0,36000.0,38000.0,94.74,NPK20-20-15,20.0,20.0,15.0,10000.0,5.0,3800.0,9.5,No,0,combination of practices
1469278379855013426,2024,>75%,Yes,0%,Yes,1&2,Yes,3.25,4.06,0.0,,1240.0,0.0,NPK16-16-8,16.0,16.0,8.0,1240.0,1.0,2300.0,11.59,No,0,hand hoe
1469278379855008977,2024,>75%,Yes,0%,Yes,3,Yes,5.15,4.07,100.0,9000.0,10900.0,82.57,SA 21%,21.0,0.0,0.0,1900.0,1.0,3000.0,7.52,No,0,combination of practices
1469278379854782189,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,1600.0,0.0,npk 20.5.5,20.0,5.0,5.0,2320.0,1.45,2000.0,6.25,No,0,mowing/cutting
1469883818362504707,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,1764.0,3087.0,57.14,NPK20.5.5,20.0,5.0,5.0,2249.0,1.7,3059.0,11.56,No,0,mowing/cutting
1469278379855004763,2024,>75%,Yes,0%,Yes,3,Yes,5.14,4.07,100.0,4444.0,6775.0,65.59,npk 20-5-5,20.0,5.0,5.0,4196.0,1.8,3889.0,8.34,No,0,combination of practices
1469278379854782176,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,0.0,,3438.0,0.0,NPK 17-7-17,17.0,7.0,17.0,5500.8,1.6,2812.5,4.81,No,0,mowing/cutting
1469278379855013194,2024,>75%,Yes,1%-25%,Yes,3,Yes,5.28,5.18,100.0,10000.0,11700.0,85.47,NPK 20-5-5,20.0,5.0,5.0,1700.0,1.0,3000.0,8.82,No,0,combination of practices
1469278379854783010,2024,26%-50%,Yes,26%-50%,No,No Analysis,No,0.0,0.0,100.0,2000.0,3400.0,58.82,urê 46,46.0,0.0,0.0,4200.0,3.0,3333.33333,5.18,No,0,mowing/cutting
1469278379855012739,2024,26%-50%,Yes,0%,Yes,1&2,No,2.96,4.35,0.0,,1700.0,0.0,NPK 19-9-19,19.0,9.0,19.0,1700.0,1.0,3300.0,10.22,No,0,combination of practices
1469278379854783130,2024,1%-25%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,500.0,1500.0,33.33,npk 16-16-8,16.0,16.0,8.0,2000.0,2.0,2000.0,12.5,No,0,mowing/cutting
1469278379855009281,2024,>75%,Yes,0%,Yes,1&2,Yes,3.02,4.19,100.0,7798.0,10472.0,74.47,npk 20-5-5,20.0,5.0,5.0,4010.0,1.5,3533.33333,6.61,No,0,mowing/cutting
1469883818362505057,2024,>75%,Yes,0%,Yes,1&2,Yes,3.18,3.89,100.0,833.0,2833.0,29.4,npk 20-10-5,20.0,10.0,5.0,1200.0,0.6,4167.0,10.42,No,0,mowing/cutting
1469278379854782955,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,4173.0,5257.0,79.38,npk 21-5-5,21.0,5.0,5.0,2493.0,2.3,2478.0,10.89,No,0,mowing/cutting
1469278379854782066,2024,>75%,Yes,0%,Yes,1&2,Yes,5.91,4.22,100.0,5000.0,7300.0,68.49,Ure 46,46.0,0.0,0.0,1150.0,0.5,4200.0,3.97,No,0,mowing/cutting
1469278379854782983,2024,26%-50%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,7625.0,9086.0,83.92,npk 19-9-19,19.0,9.0,19.0,2338.0,1.6,2500.0,9.0,No,0,combination of practices
1469278379855009775,2024,>75%,Yes,0%,Yes,1&2,Yes,5.03,4.08,100.0,14000.0,18100.0,77.35,NPK20-10-10,20.0,10.0,10.0,8200.0,2.0,4750.0,5.79,No,0,combination of practices
1469278379854781982,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,1733.0,0.0,NPK 20.5.5,20.0,5.0,5.0,2600.0,1.5,1333.0,3.85,No,1,mowing/cutting
1469883818362504785,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,0.0,,2806.0,0.0,NPK 20.5.5,20.0,5.0,5.0,2525.4,0.9,1666.66667,2.97,No,0,mowing/cutting
1469278379854782311,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,1000.0,3098.0,32.28,Ure 46,46.0,0.0,0.0,6294.0,3.0,3667.0,3.8,No,0,mowing/cutting
1469883818362504788,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,2000.0,4450.0,44.94,NPK 27-6-6,27.0,6.0,6.0,4900.0,2.0,2000.0,3.02,No,0,mowing/cutting
1469278379854782873,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,11333.0,13166.0,86.08,NPK 20-5-5,20.0,5.0,5.0,2750.0,1.5,3333.0,9.09,No,0,mowing/cutting
1469278379855013487,2024,>75%,Yes,0%,Yes,1&2,Yes,5.13,4.46,100.0,13611.0,16055.0,84.78,NPK20-10-15,20.0,10.0,15.0,4400.0,1.8,3889.0,7.95,No,0,combination of practices
1469278379854782303,2024,26%-50%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,0.0,0.0,1075.0,0.0,urê 46,46.0,0.0,0.0,2795.0,2.6,1538.0,3.11,No,0,mowing/cutting
1469278379854782330,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,2900.0,0.0,NPK 19.9.19,19.0,9.0,19.0,8700.0,3.0,3667.0,6.66,No,0,mowing/cutting
1469278379855013538,2024,>75%,Yes,0%,Yes,1&2,Yes,5.13,4.46,100.0,7000.0,8650.0,80.92,NPK22-5-5,22.0,5.0,5.0,1650.0,1.0,4800.0,13.22,No,0,combination of practices
1469278379854677182,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,0.0,,2086.0,0.0,ure 46,46.0,0.0,0.0,2294.6,1.1,2818.18182,2.94,No,0,mowing/cutting
1469278379854782765,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,896.0,1792.0,50.0,npk 20-10-10,20.0,10.0,10.0,3494.4,3.9,2307.69231,12.88,No,0,mowing/cutting
1469278379854677051,2024,>75%,Yes,0%,No,No Analysis,No,0.0,0.0,40.0,500.0,2175.0,22.99,ure,46.0,0.0,0.0,6700.0,4.0,500.0,0.65,No,0,mowing/cutting
1469278379855012279,2024,>75%,Yes,1%-25%,Yes,3,Yes,2.96,4.35,100.0,10294.0,11676.0,88.16,NPK20-5-5,20.0,5.0,5.0,2350.0,1.7,3235.0,11.7,No,0,combination of practices
1469278379854782856,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,0.0,0.0,2599.0,0.0,urê 46,46.0,0.0,0.0,2599.0,1.0,4000.0,1.27,No,0,combination of practices
1469278379855009590,2024,>75%,Yes,1%-25%,Yes,1&2,No,4.33,4.5,100.0,14000.0,15900.0,88.05,npk 20-5-5,20.0,5.0,5.0,950.0,0.5,3600.0,9.47,No,0,combination of practices
1469278379854677054,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,2000.0,3200.0,62.5,npk 17-17-18,17.0,17.0,18.0,1200.0,1.0,800.0,3.92,No,0,mowing/cutting
1469278379855012573,2024,51%-75%,Yes,0%,Yes,1&2,Yes,5.43,4.19,100.0,15713.0,16569.0,94.83,NPK 20-5-5,20.0,5.0,5.0,513.6,0.6,2000.0,11.68,No,0,combination of practices
1469278379854783229,2024,26%-50%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,3000.0,3750.0,80.0,npk 30-10-10,30.0,10.0,10.0,1500.0,2.0,1500.0,6.67,No,0,combination of practices
1469278379854781962,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,0.0,,2500.0,0.0,NPK 20.5.5,20.0,5.0,5.0,5000.0,2.0,3500.0,7.0,No,0,hand hoe
1469278379854677037,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,3000.0,6250.0,48.0,ure,46.0,0.0,0.0,2600.0,0.8,3125.0,2.09,No,0,mowing/cutting
1469278379855012570,2024,>75%,Yes,0%,Yes,1&2,Yes,5.43,4.19,100.0,14285.0,17785.0,80.32,NPK20-5-6,20.0,5.0,6.0,4900.0,1.4,5143.0,7.35,No,0,combination of practices
1469883818362504744,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,11324.0,12212.0,92.73,npk 20-10-10,20.0,10.0,10.0,799.0,0.9,4444.0,25.03,No,0,mowing/cutting
1469278379855012184,2024,>75%,Yes,0%,Yes,1&2,Yes,3.89,3.99,100.0,7000.0,9500.0,73.68,u4re 46,46.0,0.0,0.0,1250.0,0.5,4000.0,3.48,No,0,combination of practices
1469883818362504715,2024,>75%,Yes,1%-25%,Yes,3,Yes,7.11,4.18,100.0,1144.0,2653.0,43.12,npk 20-10-10,20.0,10.0,10.0,6791.0,4.5,2222.0,7.36,No,0,mowing/cutting
1469278379854783135,2024,51%-75%,Yes,26%-50%,No,No Analysis,No,0.0,0.0,0.0,,2103.0,0.0,NPK 17-7-17,17.0,7.0,17.0,3996.0,1.9,2368.0,6.62,No,0,mowing/cutting
1469278379855012158,2024,>75%,Yes,0%,Yes,1&2,Yes,3.89,3.99,100.0,7500.0,9900.0,75.76,ure 46,46.0,0.0,0.0,4800.0,2.0,3000.0,2.72,No,0,combination of practices
1469278379854783115,2024,>75%,Yes,0%,Yes,4,No,5.42,4.32,0.0,,2000.0,0.0,npk 20-5-6,20.0,5.0,6.0,2000.0,1.0,3000.0,7.5,No,0,mowing/cutting
1469278379854782426,2024,>75%,Yes,0%,Yes,1&2,Yes,7.11,4.18,100.0,6666.0,7956.0,83.79,SA 21%,21.0,0.0,0.0,3096.0,2.4,2917.0,10.77,No,0,mowing/cutting
1469278379855013057,2024,>75%,Yes,0%,Yes,1&2,Yes,4.07,4.07,100.0,1666.0,3583.0,46.5,URE 46,46.0,0.0,0.0,1150.0,0.6,3833.0,4.35,No,0,combination of practices
1469278379854783104,2024,26%-50%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,3097.0,0.0,Ure 46%,46.0,0.0,0.0,6194.0,2.0,3000.0,2.11,No,0,mowing/cutting
1469278379854782419,2024,51%-75%,Yes,1%-25%,Yes,1&2,Yes,7.11,4.18,100.0,1875.0,2812.0,66.68,ure 46,46.0,0.0,0.0,1500.0,1.6,3438.0,7.97,No,0,mowing/cutting
1469278379855009927,2024,51%-75%,Yes,0%,Yes,1&2,Yes,5.25,3.9,100.0,4000.0,5800.0,68.97,NPK16-16-8,16.0,16.0,8.0,900.0,0.5,4000.0,13.89,No,0,hand hoe
1469278379854677226,2024,>75%,No,26%-50%,No,No Analysis,No,0.0,0.0,0.0,,2000.0,0.0,NPK 20-12-17,20.0,12.0,17.0,2000.0,1.0,2000.0,5.0,No,0,combination of practices
1469278379855012818,2024,>75%,Yes,0%,Yes,1&2,Yes,4.07,4.07,100.0,9333.0,11465.0,81.4,NPK22-5-5,22.0,5.0,5.0,3198.0,1.5,5333.0,11.37,No,0,combination of practices
1469278379854677162,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,0.0,,1414.0,0.0,npk 20-10-10,20.0,10.0,10.0,2545.0,1.8,2222.0,7.86,No,0,combination of practices
1469278379854782733,2024,>75%,No,0%,No,No Analysis,No,0.0,0.0,100.0,2679.0,3216.0,83.3,Npk 20.5.5,20.0,5.0,5.0,1504.0,2.8,357.0,3.32,No,0,mowing/cutting
1469278379854677174,2024,51%-75%,No,1%-25%,No,No Analysis,No,0.0,0.0,100.0,545.0,1816.0,30.01,npk 20-20-15,20.0,20.0,15.0,1398.1,1.1,1181.81818,4.65,No,0,combination of practices
1469278379854783053,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,100.0,5600.0,7598.0,73.7,ure,46.0,0.0,0.0,6593.0,3.3,2424.24242,2.64,No,0,mowing/cutting
1469278379854782727,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,100.0,6667.0,8668.0,76.92,NPK 20.10.10,20.0,10.0,10.0,2801.0,1.4,2143.0,5.36,No,0,mowing/cutting
1469278379855013676,2024,>75%,Yes,0%,Yes,1&2,Yes,4.77,4.61,100.0,1818.0,3771.0,48.21,ure 46,46.0,0.0,0.0,2148.0,1.1,2273.0,2.53,No,0,combination of practices
1469278379855013697,2024,>75%,Yes,0%,Yes,1&2,Yes,4.77,4.61,100.0,2800.0,5200.0,53.85,NPK20-5-5,20.0,5.0,5.0,1200.0,0.5,3.4,0.01,No,0,combination of practices
1469278379854782243,2024,51%-75%,Yes,0%,No,No Analysis,No,0.0,0.0,0.0,,1998.0,0.0,npk 20-8-20,20.0,8.0,20.0,2198.0,1.1,1273.0,3.19,No,0,combination of practices
1469278379855012382,2024,>75%,Yes,0%,Yes,1&2,Yes,5.16,4.49,0.0,0.0,2386.0,0.0,Npk20-5-5,20.0,5.0,5.0,5250.0,2.2,1364.0,2.86,No,0,combination of practices
1469278379854783211,2024,>75%,Yes,1%-25%,No,No Analysis,No,0.0,0.0,0.0,,1750.0,0.0,npk 20-18-6,20.0,18.0,6.0,3500.0,2.0,2500.0,7.14,No,0,combination of practices
1469278379855012339,2024,>75%,Yes,0%,Yes,3,Yes,5.8,4.42,100.0,13000.0,14600.0,89.04,NPK 16-16-8,16.0,16.0,8.0,1600.0,1.0,3100.0,12.11,No,0,combination of practices
1469278379854783216,2024,26%-50%,Yes,1%-25%,Yes,1&2,No,6.03,4.71,0.0,,1800.0,0.0,npk 20-5-5,20.0,5.0,5.0,900.0,0.5,2400.0,6.67,No,0,combination of practices
1469278379855012856,2024,51%-75%,Yes,0%,Yes,1&2,Yes,5.73,4.63,100.0,14000.0,15600.0,89.74,NPK 20-5-5,20.0,5.0,5.0,1600.0,1.0,5000.0,15.63,No,0,combination of practices
1469278379855013932,2024,51%-75%,Yes,1%-25%,Yes,1&2,Yes,2.89,4.02,50.0,6000.0,8400.0,71.43,NPK 17-9-19,17.0,9.0,19.0,2400.0,1.0,3000.0,7.35,No,0,combination of practices
1469278379855013152,2024,>75%,Yes,0%,Yes,3,Yes,4.99,4.02,100.0,11300.0,13150.0,85.93,NPK 20-20-20,20.0,20.0,20.0,1850.0,1.0,4000.0,10.81,No,0,combination of practices
